t,mid,q,x,pnl,sigma,spread
1.72284e+09,0.00694261,147,0.600829,1.62139,5.92707e-06,2.00775e-06
1.72284e+09,0.0070047,138,0.663511,1.63016,5.61318e-06,2.00537e-06
1.72284e+09,0.00701321,140,0.649791,1.63164,4.67999e-06,2.00264e-06
1.72284e+09,0.00695861,158,0.525134,1.6246,4.25714e-06,2.00128e-06
1.72284e+09,0.00692869,159,0.518327,1.61999,4.07805e-06,2.00034e-06
1.72284e+09,0.00677251,227,0.0515671,1.58893,4.12982e-06,2.00564e-06
1.72284e+09,0.00681661,239,-0.0305792,1.59859,4.9122e-06,2.00677e-06
1.72284e+09,0.00663307,262,-0.18424,1.55362,5.72893e-06,2.00757e-06
1.72284e+09,0.00637065,273,-0.256595,1.48259,9.74121e-06,2.01714e-06
1.72284e+09,0.00632828,278,-0.287323,1.47194,1.01602e-05,2.01348e-06
1.72284e+09,0.00634642,309,-0.478228,1.48281,8.64045e-06,2.00602e-06
1.72284e+09,0.00645469,304,-0.445035,1.51719,8.76475e-06,2.00235e-06
1.72284e+09,0.00654924,290,-0.353314,1.54597,6.55015e-06,2.01461e-06
1.72284e+09,0.00660987,305,-0.450012,1.566,5.46451e-06,2.00868e-06
1.72284e+09,0.00670821,283,-0.302147,1.59628,5.05703e-06,2.00615e-06
1.72284e+09,0.00673001,253,-0.100446,1.60225,4.73414e-06,2.00427e-06
1.72284e+09,0.00677804,232,0.0411593,1.61367,4.63168e-06,2.00302e-06
1.72284e+09,0.00682961,184,0.369349,1.626,4.25442e-06,2.00164e-06
1.72284e+09,0.0067927,175,0.433023,1.62175,4.00796e-06,2.00065e-06
1.72284e+09,0.00681546,176,0.426102,1.62562,3.72718e-06,2.00487e-06
1.72285e+09,0.00674827,218,0.141591,1.61271,3.61378e-06,2.00392e-06
1.72285e+09,0.00681728,159,0.539492,1.62344,3.44665e-06,2.00298e-06
1.72285e+09,0.00672261,177,0.41773,1.60763,3.23878e-06,2.0021e-06
1.72285e+09,0.0067396,173,0.445066,1.61102,3.16332e-06,2.00151e-06
1.72285e+09,0.00657889,222,0.118957,1.57947,3.25833e-06,2.00107e-06
1.72285e+09,0.00658846,224,0.10566,1.58148,3.36786e-06,2.00057e-06
1.72285e+09,0.00660758,196,0.290348,1.58543,3.0499e-06,2e-06
1.72285e+09,0.00661594,169,0.469339,1.58743,2.8547e-06,2.00253e-06
1.72285e+09,0.0065782,134,0.697626,1.5791,2.93581e-06,2.00225e-06
1.72285e+09,0.0066234,107,0.875865,1.58457,2.85593e-06,2.00172e-06
1.72285e+09,0.00657551,108,0.869516,1.57967,2.99808e-06,2.00144e-06
1.72285e+09,0.00659179,97,0.941707,1.58111,2.89685e-06,2.00093e-06
1.72285e+09,0.0064329,181,0.393886,1.55824,2.84275e-06,2.00049e-06
